userid	newsid
5533175	100649202
12790297	100658519
4353345	100648598
4203391	100648593
3310604	100637136
5152832	100649202
10435952	100653403
970736	100646153
2294826	100646087
1865760	100646153
4721554	100648892
3173105	100646872
1127171	100645962
2791141	100637136
2454399	100646153
11707476	100656591
9997845	100653403
10431015	100653403
9471229	100647672
4519206	100648768
4853722	100640893
1685219	100646153
2800788	100633200
5231370	100649040
3848455	100647915
468058	100645962
3427338	100637136
2261044	100645962
149658	100530373
3351420	100647237
9286521	100647712
9914424	100653403
4561366	100648768
2902463	100646153
2914878	100646872
4028561	100647914
11339469	100656239
5798937	100649537
697994	100645697
5886906	100649537
5480460	100649202
11384558	100656090
557573	100645518
11945038	100657261
11908827	100656057
9416421	100651950
7139901	100650220
8252857	100651469
3889787	100647416
1607690	100646722
2127253	100646058
3840514	100647825
3129507	100646872
10460756	100651182
7412929	100650220
7629153	100650633
8508492	100651469
4546720	100648768
561862	100637151
969326	100646087
7738438	100650220
937049	100645485
1180358	100646712
9909712	100653403
6005836	100649537
7533403	100650220
905157	100649633
9550251	100652418
5148771	100648411
9993547	100653403
531492	100646754
7142866	100650220
1564872	100646087
8259248	100650702
554374	100645962
7110812	100650220
1023517	100646087
7663320	100651130
1508703	100646087
270063	100634859
3034028	100646712
7617436	100650220
2174143	100646080
1203166	100637151
1650149	100645322
8050406	100650824
1300194	100646153
11358746	100656239
837790	100633200
11710178	100652966
1671056	100646087
2680012	100646872
2887360	100637151
464608	100645495
3804433	100647416
3934173	100647416
98867	100637151
3934176	100647825
1188586	100646153
204469	100643061
9462088	100647672
9038815	100651469
7760397	100650702
752396	100648557
3348538	100647698
1229574	100646087
3376388	100647698
1779944	100646080
964015	100646153
4923876	100648768
5493572	100651212
614040	100645483
9935808	100653403
4860233	100648768
2771482	100646722
7641729	100644052
1296724	100646153
4965760	100637175
981918	100646087
4631645	100640893
1032233	100646153
562685	100645485
10069332	100653362
570177	100645495
4970352	100649040
4490069	100648402
1155930	100646087
1553101	100646153
2720742	100636362
7108002	100650220
9910853	100647712
4951216	100649260
638678	100645483
